,Catalog,stackoverflow,,,
,Schema,silver,,,
,Table,person,,,
,grain,ResponseID*Year,,,
,,,,,
No.,Column Name,Data Type,Not Null,Unique Key,Composite Unique Key
1,ResponseId,long,Y,-,Y
2,MainBranch,string,-,-,-
3,MainBranch_Category,string,Y,-,-
4,Age,string,-,-,-
5,Age_Category,string,Y,-,-
6,EdLevel,string,-,-,-
7,EdLevel_Category,string,Y,-,-
8,Employment,string,-,-,-
9,Employment_Category,string,Y,-,-
10,WorkExp,int,-,-,-
11,YearsCode,string,-,-,-
12,YearsCode_Cleaned,int,Y,-,-
13,DevType,string,-,-,-
14,DevType_Category,string,Y,-,-
15,OrgSize,string,-,-,-
16,OrgSize_Category,string,Y,-,-
17,ICorPM,string,-,-,-
18,RemoteWork,string,-,-,-
19,RemoteWork_Category,string,Y,-,-
20,PurchaseInfluence,string,-,-,-
21,PurchaseInfluence_Category,string,Y,-,-
22,Industry,string,-,-,-
23,Industry_Category,string,Y,-,-
24,AIThreat,string,-,-,-
25,NewRole,string,-,-,-
26,NewRole_Category,string,Y,-,-
27,ToolCountWork,int,-,-,-
28,ToolCountPersonal,int,-,-,-
29,Country,string,-,-,-
30,Country_Region,string,-,-,-
31,Currency,string,-,-,-
32,CompTotal,double,-,-,-
33,AISelect,string,-,-,-
34,AISelect_Category,string,Y,-,-
35,AISent,string,-,-,-
36,AISent_Category,string,Y,-,-
37,AIAcc,string,-,-,-
38,AIAcc_Category,string,Y,-,-
39,ConvertedCompYearly,double,-,-,-
40,Year,int,Y,-,Y
